dataset,model,objective,run_tag,seed,folds,mean_best_epoch,mean_valid_loss,mean_valid_mAP,total_runtime_sec
sleep,gru,custom,objective_e20_bs32_eval5,0,4,20.0,0.2940103427208111,0.5700117284298498,818.7957850980019
sleep,gru,density_custom,,0,2,1.0,0.0033989286319099,0.02517147130318425,235.98889626200025
sleep,gru,density_custom,lr1e3_e2,0,2,2.0,0.0033918103585259003,0.02869578700841375,330.47819537300074
sleep,gru,density_custom,lr3e3_e2,0,2,2.0,0.0033813387872337498,0.035832349800330246,331.2255780790001
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,0,4,18.75,0.002235910121636325,0.5814188455991874,739.2031200339989
sleep,gru,density_custom,lr3e4_e2,0,2,2.0,0.00340609852307035,0.0204462969737467,332.2713386759997
sleep,gru,density_custom,smoke_opt,0,2,1.0,0.0033989286319099,0.02517147130318425,220.133714098999
sleep,gru,density_gau,objective_e20_bs32_eval5,0,4,20.0,0.0019513875375418,0.6487628020569002,802.4186904529997
sleep,gru,density_hard,objective_e20_bs32_eval5,0,4,20.0,0.00162908841497775,0.6646203911072995,798.2998495469992
sleep,gru,density_hard,objective_e20_bs32_eval5,1,4,20.0,0.001629051616096025,0.6772295290018386,806.991337806001
sleep,gru,density_hard,objective_e20_bs32_eval5,2,4,20.0,0.0016045339527223999,0.6794522927763523,792.3669280050053
sleep,gru,gau,objective_e20_bs32_eval5,0,4,20.0,0.4338994982793125,0.6049920762254696,817.8574662419996
sleep,gru,hard,objective_e20_bs32_eval5,0,4,18.75,6.434892046559549,0.6092770480517243,815.5020053130029
sleep,gru,hard,objective_e20_bs32_eval5,1,4,18.75,6.40063680576982,0.633430209638749,830.1570503779949
sleep,gru,hard,objective_e20_bs32_eval5,2,4,18.75,6.439422217258262,0.6006298432143042,824.1638784280003
sleep,gru,seg,objective_e20_bs32_eval5,0,4,18.75,0.12586380438850203,0.4391626806676997,673.0754521360013
sleep,gru,seg,objective_e20_bs32_eval5,1,4,18.75,0.12342067440859893,0.41701284603581945,685.7088807340006
sleep,gru,seg,objective_e20_bs32_eval5,2,4,17.5,0.12348408126749486,0.47754334443847524,676.5641687440038
sleep,gru,seg_focal,objective_e20_bs32_eval5,0,4,13.75,0.0166433385666363,0.3594692725525783,676.5469635080008
sleep,gru,seg_weighted,objective_e20_bs32_eval5,0,4,15.0,0.20111015437857302,0.49635861571233064,666.9508170319987
sleep,unet,density_hard,objective_e20_bs32_eval5,0,4,20.0,0.001735971315196425,0.5718903900698535,780.7936168140077
