dataset,model,objective,run_tag,postprocess_objective,tolerance,mean,std,count
sleep,gru,density_custom,lr3e3_e2,density_custom,12.0,0.0013620277713384,,1
sleep,gru,density_custom,lr3e3_e2,density_custom,36.0,0.0065435780329964,,1
sleep,gru,density_custom,lr3e3_e2,density_custom,60.0,0.0138051260419705,,1
sleep,gru,density_custom,lr3e3_e2,density_custom,90.0,0.0208994010987241,,1
sleep,gru,density_custom,lr3e3_e2,density_custom,120.0,0.027349180605287,,1
sleep,gru,density_custom,lr3e3_e2,density_custom,150.0,0.0345111353333763,,1
sleep,gru,density_custom,lr3e3_e2,density_custom,180.0,0.0415428173003003,,1
sleep,gru,density_custom,lr3e3_e2,density_custom,240.0,0.0532173655235408,,1
sleep,gru,density_custom,lr3e3_e2,density_custom,300.0,0.0625062697760747,,1
sleep,gru,density_custom,lr3e3_e2,density_custom,360.0,0.0709228038410183,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,12.0,0.0338463201817284,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,36.0,0.2685350661121803,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,60.0,0.4497948490147597,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,90.0,0.5767407516969832,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,120.0,0.66286514324878,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,150.0,0.724534446959042,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,180.0,0.7591072482207741,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,240.0,0.8031767933268972,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,300.0,0.8278257550788723,,1
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,density_custom,360.0,0.8460781879560442,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,12.0,0.0216744842697953,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,36.0,0.2150702873727711,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,60.0,0.4109543311177709,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,90.0,0.5290562861077697,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,120.0,0.6054375858545631,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,150.0,0.6622535937770071,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,180.0,0.6995876309850046,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,240.0,0.745579631463926,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,300.0,0.773688850544904,,1
sleep,gru,custom,objective_e20_bs32_eval5,custom,360.0,0.7901786034905777,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,12.0,0.0867197419072523,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,36.0,0.4419013143031124,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,60.0,0.5864589723535633,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,90.0,0.6677316753690772,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,120.0,0.7184715830259469,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,150.0,0.7536170469993477,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,180.0,0.7799724072309557,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,240.0,0.8084140383196134,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,300.0,0.8274375793443919,,1
sleep,gru,density_gau,objective_e20_bs32_eval5,density_gau,360.0,0.8439526345093276,,1
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,12.0,0.219200678993781,0.007885609555623722,3
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,36.0,0.5298837988402632,0.011307583992182365,3
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,60.0,0.6265236723155132,0.011074047347080045,3
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,90.0,0.6870547047605435,0.009505139574275576,3
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,120.0,0.7268470165244154,0.008553291321766932,3
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,150.0,0.7553138362510797,0.007631749563701892,3
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,180.0,0.7813179231025337,0.007131026754913538,3
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,240.0,0.8069121005681058,0.006986577758032264,3
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,300.0,0.8254157526234199,0.007469274640606359,3
sleep,gru,density_hard,objective_e20_bs32_eval5,density_hard,360.0,0.8384597996784137,0.0065174789579869555,3
sleep,gru,gau,objective_e20_bs32_eval5,gau,12.0,0.0561714076519694,,1
sleep,gru,gau,objective_e20_bs32_eval5,gau,36.0,0.346715352676006,,1
sleep,gru,gau,objective_e20_bs32_eval5,gau,60.0,0.5054856773232699,,1
sleep,gru,gau,objective_e20_bs32_eval5,gau,90.0,0.5957855571774262,,1
sleep,gru,gau,objective_e20_bs32_eval5,gau,120.0,0.6472764748146109,,1
sleep,gru,gau,objective_e20_bs32_eval5,gau,150.0,0.6816715592276057,,1
sleep,gru,gau,objective_e20_bs32_eval5,gau,180.0,0.7120856491572767,,1
sleep,gru,gau,objective_e20_bs32_eval5,gau,240.0,0.7429995132088758,,1
sleep,gru,gau,objective_e20_bs32_eval5,gau,300.0,0.7646405669187718,,1
sleep,gru,gau,objective_e20_bs32_eval5,gau,360.0,0.7814708127637431,,1
sleep,gru,hard,objective_e20_bs32_eval5,hard,12.0,0.13297676822858473,0.013483573211167285,3
sleep,gru,hard,objective_e20_bs32_eval5,hard,36.0,0.43868631450244183,0.017735586597358,3
sleep,gru,hard,objective_e20_bs32_eval5,hard,60.0,0.5396684941031463,0.018820678267449133,3
sleep,gru,hard,objective_e20_bs32_eval5,hard,90.0,0.6032244907134775,0.017428399254547398,3
sleep,gru,hard,objective_e20_bs32_eval5,hard,120.0,0.6452950644241436,0.016196907235309317,3
sleep,gru,hard,objective_e20_bs32_eval5,hard,150.0,0.6759976490860202,0.01545412745237957,3
sleep,gru,hard,objective_e20_bs32_eval5,hard,180.0,0.7026135264411416,0.014486202082256183,3
sleep,gru,hard,objective_e20_bs32_eval5,hard,240.0,0.7317309773090569,0.013880050275850323,3
sleep,gru,hard,objective_e20_bs32_eval5,hard,300.0,0.7531358966280587,0.013388003711633312,3
sleep,gru,hard,objective_e20_bs32_eval5,hard,360.0,0.7678215153990351,0.012424561410790074,3
sleep,gru,seg,objective_e20_bs32_eval5,seg1,12.0,0.04010232850558773,0.0031781805098091607,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,12.0,0.050928745339858,0.006161978636054042,3
sleep,gru,seg,objective_e20_bs32_eval5,seg1,36.0,0.25138075877371036,0.00966924660204895,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,36.0,0.28341719854064834,0.009227173667046886,3
sleep,gru,seg,objective_e20_bs32_eval5,seg1,60.0,0.41929706587964444,0.005016739755514319,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,60.0,0.44768992077698594,0.004914311561841564,3
sleep,gru,seg,objective_e20_bs32_eval5,seg1,90.0,0.5258736097899899,0.01084427740917146,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,90.0,0.5568411430366228,0.006718648935601917,3
sleep,gru,seg,objective_e20_bs32_eval5,seg1,120.0,0.5959153327896703,0.012249330502480782,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,120.0,0.6299557770540827,0.008228861258879587,3
sleep,gru,seg,objective_e20_bs32_eval5,seg1,150.0,0.6444712239438251,0.013591735802322725,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,150.0,0.6834855168630742,0.009234265240245858,3
