dataset,model,objective,seed,run_tag,phase,name,purpose,target_epochs,target_folds,target_batch_size,target_eval_every,score_required
sleep,gru,density_custom,0,lr3e4_e2,P0,lr_screen_density_custom,Choose optimizer scale after switching to Poisson likelihood.,2,2,10,1,False
sleep,gru,density_custom,0,lr1e3_e2,P0,lr_screen_density_custom,Choose optimizer scale after switching to Poisson likelihood.,2,2,10,1,False
sleep,gru,density_custom,0,lr3e3_e2,P0,lr_screen_density_custom,Choose optimizer scale after switching to Poisson likelihood.,2,2,10,1,False
sleep,gru,density_custom,0,lr3e3_e20_gpu_bs32_eval5,P1,current_density_candidate,First real multi-epoch CUDA run for the main method.,20,4,32,5,True
sleep,gru,density_hard,0,objective_e20_bs32_eval5,P2,gru_objective_sweep_seed0,"Screen BDL kernels, MSE-Hard, and segmentation losses; P1 supplies density_custom.",20,4,32,5,True
sleep,gru,density_gau,0,objective_e20_bs32_eval5,P2,gru_objective_sweep_seed0,"Screen BDL kernels, MSE-Hard, and segmentation losses; P1 supplies density_custom.",20,4,32,5,True
sleep,gru,hard,0,objective_e20_bs32_eval5,P2,gru_objective_sweep_seed0,"Screen BDL kernels, MSE-Hard, and segmentation losses; P1 supplies density_custom.",20,4,32,5,True
sleep,gru,seg,0,objective_e20_bs32_eval5,P2,gru_objective_sweep_seed0,"Screen BDL kernels, MSE-Hard, and segmentation losses; P1 supplies density_custom.",20,4,32,5,True
sleep,gru,seg_weighted,0,objective_e20_bs32_eval5,P2,gru_objective_sweep_seed0,"Screen BDL kernels, MSE-Hard, and segmentation losses; P1 supplies density_custom.",20,4,32,5,True
sleep,gru,seg_focal,0,objective_e20_bs32_eval5,P2,gru_objective_sweep_seed0,"Screen BDL kernels, MSE-Hard, and segmentation losses; P1 supplies density_custom.",20,4,32,5,True
sleep,gru,density_hard,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,gru,density_hard,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,gru,density_hard,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,gru,hard,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,gru,hard,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,gru,hard,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,gru,seg,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,gru,seg,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,gru,seg,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet,density_hard,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet,density_hard,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet,density_hard,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet,hard,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet,hard,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet,hard,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet,seg,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet,seg,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet,seg,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet_t,density_hard,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet_t,density_hard,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet_t,density_hard,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet_t,hard,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet_t,hard,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet_t,hard,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet_t,seg,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet_t,seg,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,unet_t,seg,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,prectime,density_hard,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,prectime,density_hard,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,prectime,density_hard,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,prectime,hard,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,prectime,hard,1,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,prectime,hard,2,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
sleep,prectime,seg,0,objective_e20_bs32_eval5,P3,core_model_main_table,Main table: density likelihood versus strongest non-density baselines.,20,4,32,5,True
