dataset,model,objective,seed,run_tag,actual_epochs,actual_folds,actual_batch_size,actual_eval_every,lr,density_prior,score_after_train,completed_folds,mean_valid_mAP,mean_valid_loss,mean_best_epoch,tuned_mAP,tuned_mf1,run_dir
sleep,gru,custom,0,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,False,4,0.5700117284298498,0.29401034272081117,20.0,0.545348128498409,0.6528981551983104,experiments/sleep/gru/custom/seed_0_objective_e20_bs32_eval5
sleep,gru,density_custom,0,,1,2,10,,,sparse,,2,0.02517147130318425,0.0033989286319099,1.0,,,experiments/sleep/gru/density_custom/seed_0
sleep,gru,density_custom,0,lr1e3_e2,2,2,10,,0.001,sparse,False,2,0.02869578700841375,0.0033918103585259003,2.0,,,experiments/sleep/gru/density_custom/seed_0_lr1e3_e2
sleep,gru,density_custom,0,lr3e3_e10_gpu,10,4,10,,0.003,sparse,False,0,,,,,,experiments/sleep/gru/density_custom/seed_0_lr3e3_e10_gpu
sleep,gru,density_custom,0,lr3e3_e2,2,2,10,,0.003,sparse,False,2,0.035832349800330246,0.0033813387872337498,2.0,0.0332659705324627,0.0791698903784621,experiments/sleep/gru/density_custom/seed_0_lr3e3_e2
sleep,gru,density_custom,0,lr3e3_e20_gpu_bs32_eval5,20,4,32,5.0,0.003,sparse,False,4,0.5814188455991876,0.002235910121636325,18.75,0.5952504561796061,0.6745204800033334,experiments/sleep/gru/density_custom/seed_0_lr3e3_e20_gpu_bs32_eval5
sleep,gru,density_custom,0,lr3e4_e2,2,2,10,,0.0003,sparse,False,2,0.0204462969737467,0.00340609852307035,2.0,,,experiments/sleep/gru/density_custom/seed_0_lr3e4_e2
sleep,gru,density_custom,0,smoke_opt,1,2,10,,0.001,sparse,,2,0.02517147130318425,0.0033989286319099,1.0,,,experiments/sleep/gru/density_custom/seed_0_smoke_opt
sleep,gru,density_gau,0,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,False,4,0.6487628020569002,0.0019513875375418,20.0,0.6514676993362588,0.7089770172779496,experiments/sleep/gru/density_gau/seed_0_objective_e20_bs32_eval5
sleep,gru,density_hard,0,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,False,4,0.6646203911072995,0.00162908841497775,20.0,0.670474923063441,0.723547847391744,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5
sleep,gru,density_hard,1,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,True,4,0.6772295290018386,0.0016290516160960252,20.0,0.6855994376120669,0.7261896430868044,experiments/sleep/gru/density_hard/seed_1_objective_e20_bs32_eval5
sleep,gru,density_hard,2,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,True,4,0.6794522927763522,0.0016045339527224,20.0,0.683004424421913,0.7325707001877424,experiments/sleep/gru/density_hard/seed_2_objective_e20_bs32_eval5
sleep,gru,gau,0,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,False,4,0.6049920762254695,0.4338994982793125,20.0,0.5834302570919555,0.6793197469889245,experiments/sleep/gru/gau/seed_0_objective_e20_bs32_eval5
sleep,gru,hard,0,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,False,4,0.6092770480517243,6.434892046559549,18.75,0.5855950637607844,0.6897055331455744,experiments/sleep/gru/hard/seed_0_objective_e20_bs32_eval5
sleep,gru,hard,1,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,True,4,0.633430209638749,6.400636805769819,18.75,0.6157274880293608,0.7030512093664327,experiments/sleep/gru/hard/seed_1_objective_e20_bs32_eval5
sleep,gru,hard,2,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,True,4,0.6006298432143042,6.439422217258262,18.75,0.5960226572603868,0.690314075833622,experiments/sleep/gru/hard/seed_2_objective_e20_bs32_eval5
sleep,gru,seg,0,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,False,4,0.4391626806676997,0.12586380438850203,18.75,0.5708911028714023,0.6600968076746483,experiments/sleep/gru/seg/seed_0_objective_e20_bs32_eval5
sleep,gru,seg,1,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,True,4,0.4170128460358195,0.12342067440859893,18.75,0.5767763385764865,0.6618785529799798,experiments/sleep/gru/seg/seed_1_objective_e20_bs32_eval5
sleep,gru,seg,2,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,True,4,0.47754334443847524,0.12348408126749486,17.5,0.5784484520481392,0.6575913289174622,experiments/sleep/gru/seg/seed_2_objective_e20_bs32_eval5
sleep,gru,seg_focal,0,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,False,4,0.3594692725525783,0.0166433385666363,13.75,0.5142161181162086,0.6051642115005316,experiments/sleep/gru/seg_focal/seed_0_objective_e20_bs32_eval5
sleep,gru,seg_weighted,0,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,False,4,0.4963586157123307,0.201110154378573,15.0,0.551820626356865,0.6434071580078717,experiments/sleep/gru/seg_weighted/seed_0_objective_e20_bs32_eval5
sleep,unet,density_hard,0,objective_e20_bs32_eval5,20,4,32,5.0,0.003,sparse,True,4,0.5718903900698535,0.0017359713151964252,20.0,,,experiments/sleep/unet/density_hard/seed_0_objective_e20_bs32_eval5
