dataset,model,objective,run_tag,postprocess_objective,tolerance,mean,std,count
seizure,gru,density_gau,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,density_gau,256.0,8.638455931497725e-05,,1
seizure,gru,density_gau,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,density_gau,512.0,0.0002059213917134,,1
seizure,gru,density_gau,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,density_gau,768.0,0.0005259690013092,,1
seizure,gru,density_hard,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,density_hard,256.0,0.0001030177914178,,1
seizure,gru,density_hard,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,density_hard,512.0,0.0005047133870778,,1
seizure,gru,density_hard,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,density_hard,768.0,0.0010223880508145,,1
seizure,gru,seg,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,seg1,256.0,0.0011874082704204,,1
seizure,gru,seg,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,seg2,256.0,0.0052887512784655,,1
seizure,gru,seg,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,seg1,512.0,0.002820899791365,,1
seizure,gru,seg,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,seg2,512.0,0.012085327240577,,1
seizure,gru,seg,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,seg1,768.0,0.0065773974078474,,1
seizure,gru,seg,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,seg2,768.0,0.0140350145443374,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,density_custom,256.0,0.0070316655010144,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,density_custom,512.0,0.0545025777984975,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,density_custom,768.0,0.0804170493985684,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,256.0,0.0565160035593443,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,512.0,0.15892622550407,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,768.0,0.223019334209756,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,256.0,0.0970740248421423,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,512.0,0.1689800538741447,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,768.0,0.2268838060695502,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,256.0,0.0105558042490654,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,256.0,0.0035898908211676,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,512.0,0.0355590226088482,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,512.0,0.0075067764600587,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,768.0,0.0905783114302415,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,768.0,0.0117997271781633,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,256.0,0.0137110901644536,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,512.0,0.0474723331954707,,1
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,768.0,0.0816013736036603,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,256.0,0.051725516083117,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,512.0,0.1422966698819943,,1
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,768.0,0.2205718815234589,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,256.0,0.0454918389510755,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,512.0,0.1201079000275647,,1
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,768.0,0.1939334380104179,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,256.0,0.010881962707801,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,256.0,0.0010864020348542,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,512.0,0.039990038782966,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,512.0,0.005807271223729,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,768.0,0.0581462807937646,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,768.0,0.0075370762413533,,1
