dataset,model,objective,run_tag,seed,folds,mean_best_epoch,mean_valid_loss,mean_valid_mAP,total_runtime_sec
bowshock,gru,density_custom,point_event_ablation_e20,0,4,11.25,0.009655764330241574,0.8595367713914077,1024.2885149219946
bowshock,gru,density_gau,point_event_ablation_e20,0,4,17.5,0.007959005814116175,0.9296727483617211,1630.4215055720415
bowshock,gru,density_hard,point_event_ablation_e20,0,4,15.0,0.00635261662289515,0.9313247213165531,1604.5466239629895
bowshock,gru,seg,point_event_ablation_e20,0,4,18.75,0.00644059872405815,0.21094374479844347,992.3279937269981
fraud,gru,density_custom,point_event_ablation_e20,0,4,16.25,0.008532159107198775,0.6043479233033282,280.18470808598795
fraud,gru,density_gau,point_event_ablation_e20,0,4,20.0,0.007458736119224299,0.6588004568612155,282.13974692998454
fraud,gru,density_hard,point_event_ablation_e20,0,4,16.25,0.004807905562301975,0.6769645197798577,279.29284413097776
fraud,gru,seg,point_event_ablation_e20,0,4,5.0,0.013407094671856551,0.0,276.36937190496246
seizure,gru,density_gau,seizure_main_e20_bs32_eval5,0,4,20.0,0.00016742084767642498,0.023357386773617827,28207.893179888997
seizure,gru,density_gau,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,0,4,11.25,8.920815947504378e-05,0.0170505309976521,8199.735150423003
seizure,gru,density_hard,seizure_main_e20_bs32_eval5,0,4,10.0,0.000168283222608975,0.01253559797868865,12931.894675744988
seizure,gru,density_hard,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,0,4,10.0,8.933424027713171e-05,0.017747509442311175,7216.04717004
seizure,gru,density_hard,seizure_rescue_smoke_bs8_ds5,0,2,1.0,9.006101078485083e-05,0.0078340978975125,410.1649544640004
seizure,gru,seg,seizure_main_e20_bs32_eval5,0,4,5.0,0.10309933899081353,0.0,9836.852301187027
seizure,gru,seg,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,0,4,12.5,0.10052881648187478,0.007700191765812225,8055.239655512003
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,0,4,16.75,0.00268942083445525,0.27448234302964014,7350.347181725985
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,0,4,17.0,0.004829378526044275,0.2738311792312672,4494.042389964947
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,0,4,17.75,0.0021699381605555,0.34312223708993783,9274.385330571007
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,0,4,18.0,0.00413632766549915,0.3513810860010951,4487.331758841028
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,0,4,14.25,0.002252839669219775,0.3790214001812089,9902.416430047975
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,0,4,16.5,0.0042733259172925,0.326598635483547,4617.231157438015
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,0,4,18.25,0.04047234662598738,0.2107238643463335,9689.57123082201
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,0,4,16.25,0.04630928175216205,0.2266269179860501,5220.748232240963
seizure,unet,density_gau,seizure_main_e20_bs32_eval5,0,4,17.5,0.0001652889539205,0.07886797009969512,24552.881460683988
seizure,unet,density_hard,seizure_main_e20_bs32_eval5,0,4,13.75,0.0001685470493583,0.023225455707302577,9747.66399120199
seizure,unet,density_hard,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,0,2,17.5,9.153643073973229e-05,0.0321608592112147,5465.496736340003
seizure,unet,seg,seizure_main_e20_bs32_eval5,0,4,5.0,0.13118756766549292,0.0,9689.227573839045
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,0,4,20.0,0.0028207047766911,0.14630372401108907,1753.3846138520166
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,0,4,20.0,0.00280007429412175,0.14350289063095972,1706.0801420959763
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,0,4,20.0,0.002875762301796625,0.1086813478126268,1641.738065248006
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,1,4,20.0,0.00286770556927685,0.11075393648428393,1474.5960359529854
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,2,4,20.0,0.0029194299827502,0.09468452740378211,1469.8903090749955
sleep,causal_transformer,seg,online_e20_bs32_eval5,0,4,17.5,0.28444042227869204,0.19743951427990772,1619.690311851009
sleep,causal_transformer,seg,online_e20_bs32_eval5,1,4,20.0,0.2784271193498564,0.2019592299942218,1605.427170400013
sleep,causal_transformer,seg,online_e20_bs32_eval5,2,4,20.0,0.2781317290867337,0.20375740997603203,1596.3442606030148
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,0,4,16.25,0.28009458968211465,0.19976973631279107,1813.9108867520117
sleep,fgru,density_custom,online_smoothing_e20_bs32_eval5,0,4,20.0,0.002712961834207025,0.24395777261739726,1027.8071448600094
sleep,fgru,density_gau,online_smoothing_e20_bs32_eval5,0,4,20.0,0.002617262877641575,0.26755658358404866,953.8729208219738
sleep,fgru,density_hard,online_e20_bs32_eval5,0,4,18.75,0.0026300663978275247,0.20143187513407146,1055.780730760991
sleep,fgru,density_hard,online_e20_bs32_eval5,1,4,17.5,0.0026109901767863,0.2143076566388072,782.8634505009977
sleep,fgru,density_hard,online_e20_bs32_eval5,2,4,16.25,0.0025776407584362252,0.21642133985009063,786.7729638210003
sleep,fgru,seg,online_e20_bs32_eval5,0,4,12.5,0.19023223344668524,0.21275518830950374,881.6620444329892
sleep,fgru,seg,online_e20_bs32_eval5,1,4,15.0,0.17237789503069237,0.20696362397523121,658.8094022979931
sleep,fgru,seg,online_e20_bs32_eval5,2,4,12.5,0.1882511482377368,0.2134338666607562,671.8038499229879
sleep,fgru,seg,online_smoothing_e20_bs32_eval5,0,4,17.5,0.17590178004147838,0.2060938823631318,889.7073946629826
sleep,flstm,density_custom,online_smoothing_e20_bs32_eval5,0,4,16.25,0.0029052480488577998,0.1526140195455635,1035.509393107961
sleep,flstm,density_gau,online_smoothing_e20_bs32_eval5,0,4,18.75,0.0028044116883325,0.1990529618948782,1047.7192982670094
sleep,flstm,density_hard,online_e20_bs32_eval5,0,4,18.75,0.002828823104590825,0.12175989455708378,1108.5213415290054
sleep,flstm,density_hard,online_e20_bs32_eval5,1,4,18.75,0.00292274487977875,0.09988006039382842,786.9893332949869
sleep,flstm,density_hard,online_e20_bs32_eval5,2,4,17.5,0.00284878072938595,0.12537196927224697,786.3520830219932
sleep,flstm,seg,online_e20_bs32_eval5,0,4,12.5,0.19475781076335136,0.19868508385915806,838.7267095250136
sleep,flstm,seg,online_e20_bs32_eval5,1,4,5.0,0.2260969296209591,0.2226720486501138,669.7503181730135
sleep,flstm,seg,online_e20_bs32_eval5,2,4,8.75,0.21651479751990013,0.22573026067523216,661.5620854270092
sleep,flstm,seg,online_smoothing_e20_bs32_eval5,0,4,12.5,0.18555073961846943,0.2035715512369798,891.331291811017
sleep,gru,custom,objective_e20_bs32_eval5,0,4,20.0,0.2940103427208111,0.5700117284298498,818.7957850980019
sleep,gru,density_custom,,0,2,1.0,0.0033989286319099,0.02517147130318425,235.98889626200025
sleep,gru,density_custom,lr1e3_e2,0,2,2.0,0.0033918103585259003,0.02869578700841375,330.47819537300074
sleep,gru,density_custom,lr3e3_e2,0,2,2.0,0.0033813387872337498,0.035832349800330246,331.2255780790001
sleep,gru,density_custom,lr3e3_e20_gpu_bs32_eval5,0,4,18.75,0.002235910121636325,0.5814188455991874,739.2031200339989
sleep,gru,density_custom,lr3e4_e2,0,2,2.0,0.00340609852307035,0.0204462969737467,332.2713386759997
sleep,gru,density_custom,objective_e20_bs32_eval5,0,4,20.0,0.0022333080448742,0.5789545222177193,1219.8371515970066
sleep,gru,density_custom,objective_e20_bs32_eval5,1,4,20.0,0.002236630635253275,0.5850446275319399,1136.3962102610021
sleep,gru,density_custom,objective_e20_bs32_eval5,2,4,18.75,0.002222995497100075,0.6100442271610118,1171.8369251819968
sleep,gru,density_custom,prior_none_e20_bs32_eval5,0,4,20.0,0.003416290063408275,0.018519334022925125,1153.083695141002
sleep,gru,density_custom,prior_none_e20_bs32_eval5,1,4,20.0,0.003418851096302175,0.023002358713488574,1543.2836941380228
sleep,gru,density_custom,prior_none_e20_bs32_eval5,2,4,20.0,0.0034208061837341748,0.017507650910383,1498.3988996469998
sleep,gru,density_custom,prior_sparse_e20_bs32_eval5,0,4,20.0,0.0022333080448742,0.5789545222177193,1096.2521378050005
sleep,gru,density_custom,prior_sparse_e20_bs32_eval5,1,4,20.0,0.002236630635253275,0.5850446275319399,1122.9713099580113
sleep,gru,density_custom,prior_sparse_e20_bs32_eval5,2,4,18.75,0.002222995497100075,0.6100442271610118,1150.0481953430135
sleep,gru,density_custom,smoke_opt,0,2,1.0,0.0033989286319099,0.02517147130318425,220.133714098999
sleep,gru,density_custom,tol05_e20_bs32_eval5,0,4,17.5,0.002047753688461325,0.635267075964508,1211.2164329730003
sleep,gru,density_custom,tol15_e20_bs32_eval5,0,4,20.0,0.00235486099004695,0.5475563793967766,1122.1927384560113
sleep,gru,density_gau,objective_e20_bs32_eval5,0,4,20.0,0.0019513875375418,0.6487628020569002,802.4186904529997
sleep,gru,density_gau,objective_e20_bs32_eval5,1,4,18.75,0.0019508660595802,0.6584434337969122,1304.3403390250023
sleep,gru,density_gau,objective_e20_bs32_eval5,2,4,20.0,0.0019369615380022249,0.6654290755303346,1168.1175477559955
sleep,gru,density_hard,objective_e20_bs32_eval5,0,4,20.0,0.00162908841497775,0.6646203911072995,798.2998495469992
sleep,gru,density_hard,objective_e20_bs32_eval5,1,4,20.0,0.001629051616096025,0.6772295290018386,806.991337806001
sleep,gru,density_hard,objective_e20_bs32_eval5,2,4,20.0,0.0016045339527223999,0.6794522927763523,792.3669280050053
sleep,gru,gau,objective_e20_bs32_eval5,0,4,20.0,0.4338994982793125,0.6049920762254696,817.8574662419996
sleep,gru,hard,objective_e20_bs32_eval5,0,4,18.75,6.434892046559549,0.6092770480517243,815.5020053130029
sleep,gru,hard,objective_e20_bs32_eval5,1,4,18.75,6.40063680576982,0.633430209638749,830.1570503779949
sleep,gru,hard,objective_e20_bs32_eval5,2,4,18.75,6.439422217258262,0.6006298432143042,824.1638784280003
sleep,gru,seg,objective_e20_bs32_eval5,0,4,18.75,0.12586380438850203,0.4391626806676997,673.0754521360013
sleep,gru,seg,objective_e20_bs32_eval5,1,4,18.75,0.12342067440859893,0.41701284603581945,685.7088807340006
sleep,gru,seg,objective_e20_bs32_eval5,2,4,17.5,0.12348408126749486,0.47754334443847524,676.5641687440038
sleep,gru,seg,seg_lr1e3_e20_bs32_eval5,0,4,11.25,0.19451160817281732,0.30269498329569644,770.0295841180014
sleep,gru,seg_focal,objective_e20_bs32_eval5,0,4,13.75,0.0166433385666363,0.3594692725525783,676.5469635080008
sleep,gru,seg_focal,objective_e20_bs32_eval5,1,4,16.25,0.015348169079275024,0.37046575572323936,882.6764905310047
sleep,gru,seg_focal,objective_e20_bs32_eval5,2,4,16.25,0.01490984046487055,0.36510616118248795,832.3489630380063
sleep,gru,seg_focal,seg_lr1e3_e20_bs32_eval5,0,4,10.0,0.0232804054005831,0.14634591044857045,746.7133605799991
sleep,gru,seg_weighted,objective_e20_bs32_eval5,0,4,15.0,0.20111015437857302,0.49635861571233064,666.9508170319987
