dataset,model,objective,seed,run_tag,actual_epochs,actual_folds,actual_batch_size,actual_downsample,actual_eval_every,lr,density_prior,score_after_train,completed_folds,recorded_epochs,latest_fold,latest_epoch,latest_epoch_total,latest_train_loss,latest_valid_mAP,latest_eval_fold,latest_eval_epoch,latest_eval_valid_mAP,best_eval_fold,best_eval_epoch,best_eval_valid_mAP,avg_epoch_runtime_sec,avg_eval_epoch_runtime_sec,avg_train_epoch_runtime_sec,estimated_current_fold_remaining_min,mean_valid_mAP,mean_valid_loss,mean_best_epoch,tuned_mAP,tuned_mf1,strict3_tuned_mAP,strict3_tuned_mf1,strict3_score_file,run_dir
bowshock,gru,density_custom,0,point_event_ablation_e20,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.8595367713914077,0.009655764330241574,11.25,0.9829953991241586,0.934881082202989,,,,experiments/bowshock/gru/density_custom/seed_0_point_event_ablation_e20
bowshock,gru,density_gau,0,point_event_ablation_e20,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.9296727483617211,0.007959005814116175,17.5,0.9879226272070069,0.9394796330094098,,,,experiments/bowshock/gru/density_gau/seed_0_point_event_ablation_e20
bowshock,gru,density_hard,0,point_event_ablation_e20,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.9313247213165531,0.00635261662289515,15.0,0.9875641703711352,0.9372881305936815,,,,experiments/bowshock/gru/density_hard/seed_0_point_event_ablation_e20
bowshock,gru,seg,0,point_event_ablation_e20,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.21094374479844347,0.00644059872405815,18.75,0.9865157931195504,0.9386363586364428,,,,experiments/bowshock/gru/seg/seed_0_point_event_ablation_e20
fraud,gru,density_custom,0,point_event_ablation_e20,20,4,32,1,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.6043479233033283,0.008532159107198775,16.25,0.7035117662515357,0.697928021198993,,,,experiments/fraud/gru/density_custom/seed_0_point_event_ablation_e20
fraud,gru,density_gau,0,point_event_ablation_e20,20,4,32,1,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.6588004568612154,0.007458736119224299,20.0,0.73360004261746,0.745874582492784,,,,experiments/fraud/gru/density_gau/seed_0_point_event_ablation_e20
fraud,gru,density_hard,0,point_event_ablation_e20,20,4,32,1,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.6769645197798577,0.004807905562301975,16.25,0.7552557150896272,0.7462038995779242,,,,experiments/fraud/gru/density_hard/seed_0_point_event_ablation_e20
fraud,gru,seg,0,point_event_ablation_e20,20,4,32,1,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.0,0.01340709467185655,5.0,0.5315995509090848,0.4894837426275094,,,,experiments/fraud/gru/seg/seed_0_point_event_ablation_e20
seizure,gru,density_gau,0,seizure_main_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.023357386773617827,0.00016742084767642498,20.0,0.0180357404454348,,,,,experiments/seizure/gru/density_gau/seed_0_seizure_main_e20_bs32_eval5
seizure,gru,density_gau,0,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,20,4,8,5,5.0,0.0003,sparse,False,4,80,3.0,20.0,20.0,8.419069750483945e-05,0.011550548724662,3.0,20.0,0.011550548724662,1.0,20.0,0.0223529125217557,100.09613411478759,135.451083858375,91.25739667889074,,0.0170505309976521,8.92081594750438e-05,11.25,0.0136245294645873,,0.0002727583174458,,experiments/seizure/gru/density_gau/seed_0_seizure_rescue_lr3e4_ds5_bs8_e20_eval5/results/scores_strict3.csv,experiments/seizure/gru/density_gau/seed_0_seizure_rescue_lr3e4_ds5_bs8_e20_eval5
seizure,gru,density_hard,0,seizure_main_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.01253559797868865,0.000168283222608975,10.0,0.0096418299881976,,,,,experiments/seizure/gru/density_hard/seed_0_seizure_main_e20_bs32_eval5
seizure,gru,density_hard,0,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,20,4,8,5,5.0,0.0003,sparse,False,4,80,3.0,20.0,20.0,8.410266231554228e-05,0.0089014405716975,3.0,20.0,0.0089014405716975,1.0,10.0,0.0249537970585211,88.01012286517496,122.47819566456249,79.39310466532807,,0.017747509442311175,8.933424027713171e-05,10.0,0.014159499129408,,0.0005433730764367,,experiments/seizure/gru/density_hard/seed_0_seizure_rescue_lr3e4_ds5_bs8_e20_eval5/results/scores_strict3.csv,experiments/seizure/gru/density_hard/seed_0_seizure_rescue_lr3e4_ds5_bs8_e20_eval5
seizure,gru,density_hard,0,seizure_rescue_lr3e4_ds5_e20_bs32_eval5,20,4,32,5,5.0,0.0003,sparse,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,experiments/seizure/gru/density_hard/seed_0_seizure_rescue_lr3e4_ds5_e20_bs32_eval5
seizure,gru,density_hard,0,seizure_rescue_smoke_bs8_ds5,1,2,8,5,1.0,0.0003,sparse,False,2,0,,,,,,,,,,,,,,,,0.0078340978975125,9.006101078485083e-05,1.0,,,,,,experiments/seizure/gru/density_hard/seed_0_seizure_rescue_smoke_bs8_ds5
seizure,gru,seg,0,seizure_main_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.0,0.10309933899081353,5.0,0.0314541747797959,,,,,experiments/seizure/gru/seg/seed_0_seizure_main_e20_bs32_eval5
seizure,gru,seg,0,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,20,4,8,5,5.0,0.0003,sparse,False,4,80,3.0,20.0,20.0,0.078482181632093,0.0117836821147915,3.0,20.0,0.0117836821147915,0.0,20.0,0.0190170849484574,98.3366246398001,133.63573633418753,89.51184671620325,,0.007700191765812225,0.10052881648187477,12.5,0.0457371685966296,,0.0104696976877933,,experiments/seizure/gru/seg/seed_0_seizure_rescue_lr3e4_ds5_bs8_e20_eval5/results/scores_strict3.csv,experiments/seizure/gru/seg/seed_0_seizure_rescue_lr3e4_ds5_bs8_e20_eval5
seizure,gru_3l_128h,density_custom,0,seizure_highscore_gru3l128h_ds256_bs8_e20,20,4,8,256,1.0,0.001,sparse,False,4,80,3.0,20.0,20.0,0.002,0.236,3.0,20.0,0.236,1.0,15.0,0.342,,,,,0.2744823430296401,0.00268942083445525,16.75,0.2780069281264933,,0.0473170975660268,,experiments/seizure/gru_3l_128h/density_custom/seed_0_seizure_highscore_gru3l128h_ds256_bs8_e20/results/scores_strict3.csv,experiments/seizure/gru_3l_128h/density_custom/seed_0_seizure_highscore_gru3l128h_ds256_bs8_e20
seizure,gru_3l_128h,density_custom,0,seizure_highscore_gru3l128h_ds512_bs8_e20,20,4,8,512,1.0,0.001,sparse,False,4,0,,,,,,,,,,,,,,,,0.27383117923126726,0.004829378526044275,17.0,0.2669804451143543,,0.0475949323211949,,experiments/seizure/gru_3l_128h/density_custom/seed_0_seizure_highscore_gru3l128h_ds512_bs8_e20/results/scores_strict3.csv,experiments/seizure/gru_3l_128h/density_custom/seed_0_seizure_highscore_gru3l128h_ds512_bs8_e20
seizure,gru_3l_128h,density_gau,0,seizure_highscore_gru3l128h_ds256_bs8_e20,20,4,8,256,1.0,0.001,sparse,False,4,80,3.0,20.0,20.0,0.002,0.246,3.0,20.0,0.246,1.0,16.0,0.442,,,,,0.34312223708993783,0.0021699381605555,17.75,0.3562826727901812,,0.1461538544243901,,experiments/seizure/gru_3l_128h/density_gau/seed_0_seizure_highscore_gru3l128h_ds256_bs8_e20/results/scores_strict3.csv,experiments/seizure/gru_3l_128h/density_gau/seed_0_seizure_highscore_gru3l128h_ds256_bs8_e20
seizure,gru_3l_128h,density_gau,0,seizure_highscore_gru3l128h_ds512_bs8_e20,20,4,8,512,1.0,0.001,sparse,False,4,0,,,,,,,,,,,,,,,,0.351381086001095,0.004136327665499149,18.0,0.3601900704234238,,0.1381980224961901,,experiments/seizure/gru_3l_128h/density_gau/seed_0_seizure_highscore_gru3l128h_ds512_bs8_e20/results/scores_strict3.csv,experiments/seizure/gru_3l_128h/density_gau/seed_0_seizure_highscore_gru3l128h_ds512_bs8_e20
seizure,gru_3l_128h,density_hard,0,seizure_highscore_gru3l128h_ds256_bs8_e20,20,4,8,256,1.0,0.001,sparse,False,4,80,3.0,20.0,20.0,0.001,0.337,3.0,20.0,0.337,2.0,13.0,0.431,,,,,0.37902140018120895,0.002252839669219775,14.25,0.3881360536178695,,0.1643126282619457,,experiments/seizure/gru_3l_128h/density_hard/seed_0_seizure_highscore_gru3l128h_ds256_bs8_e20/results/scores_strict3.csv,experiments/seizure/gru_3l_128h/density_hard/seed_0_seizure_highscore_gru3l128h_ds256_bs8_e20
seizure,gru_3l_128h,density_hard,0,seizure_highscore_gru3l128h_ds512_bs8_e20,20,4,8,512,1.0,0.001,sparse,False,4,0,,,,,,,,,,,,,,,,0.32659863548354706,0.0042733259172925,16.5,0.3172917213636258,,0.119844392329686,,experiments/seizure/gru_3l_128h/density_hard/seed_0_seizure_highscore_gru3l128h_ds512_bs8_e20/results/scores_strict3.csv,experiments/seizure/gru_3l_128h/density_hard/seed_0_seizure_highscore_gru3l128h_ds512_bs8_e20
seizure,gru_3l_128h,seg,0,seizure_highscore_gru3l128h_ds256_bs8_e20,20,4,8,256,1.0,0.001,sparse,False,4,80,3.0,20.0,20.0,0.015,0.144,3.0,20.0,0.144,2.0,18.0,0.261,,,,,0.2107238643463335,0.04047234662598737,18.25,0.286962692929188,,0.045564379429385,,experiments/seizure/gru_3l_128h/seg/seed_0_seizure_highscore_gru3l128h_ds256_bs8_e20/results/scores_strict3.csv,experiments/seizure/gru_3l_128h/seg/seed_0_seizure_highscore_gru3l128h_ds256_bs8_e20
seizure,gru_3l_128h,seg,0,seizure_highscore_gru3l128h_ds512_bs8_e20,20,4,8,512,1.0,0.001,sparse,False,4,0,,,,,,,,,,,,,,,,0.2266269179860501,0.04630928175216205,16.25,0.251653325113825,,0.0363394274281772,,experiments/seizure/gru_3l_128h/seg/seed_0_seizure_highscore_gru3l128h_ds512_bs8_e20/results/scores_strict3.csv,experiments/seizure/gru_3l_128h/seg/seed_0_seizure_highscore_gru3l128h_ds512_bs8_e20
seizure,unet,density_gau,0,seizure_main_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.07886797009969512,0.0001652889539205,17.5,0.0554338522507069,,,,,experiments/seizure/unet/density_gau/seed_0_seizure_main_e20_bs32_eval5
seizure,unet,density_hard,0,seizure_main_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.023225455707302577,0.00016854704935829998,13.75,0.0150257071739581,,,,,experiments/seizure/unet/density_hard/seed_0_seizure_main_e20_bs32_eval5
seizure,unet,density_hard,0,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,20,4,8,5,5.0,0.0003,sparse,False,2,51,2.0,11.0,20.0,8.415211492060084e-05,,2.0,10.0,0.0214415957698711,0.0,15.0,0.0389900128984856,280.10421127503935,408.9202064448007,248.6856758677805,42.64400239940108,0.0321608592112147,9.153643073973229e-05,17.5,,,,,,experiments/seizure/unet/density_hard/seed_0_seizure_rescue_lr3e4_ds5_bs8_e20_eval5
seizure,unet,seg,0,seizure_main_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.0,0.13118756766549292,5.0,0.0223495659032682,,,,,experiments/seizure/unet/seg/seed_0_seizure_main_e20_bs32_eval5
sleep,causal_transformer,density_custom,0,online_smoothing_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.14630372401108907,0.0028207047766910997,20.0,0.1821378239061978,0.2665804267576421,,,,experiments/sleep/causal_transformer/density_custom/seed_0_online_smoothing_e20_bs32_eval5
sleep,causal_transformer,density_gau,0,online_smoothing_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.14350289063095972,0.00280007429412175,20.0,0.1700910237520376,0.2609611812251761,,,,experiments/sleep/causal_transformer/density_gau/seed_0_online_smoothing_e20_bs32_eval5
sleep,causal_transformer,density_hard,0,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.10868134781262681,0.0028757623017966255,20.0,0.1114398387726538,0.2030139911136991,,,,experiments/sleep/causal_transformer/density_hard/seed_0_online_e20_bs32_eval5
sleep,causal_transformer,density_hard,1,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.11075393648428393,0.0028677055692768504,20.0,0.1166780019434681,0.2100387044476117,,,,experiments/sleep/causal_transformer/density_hard/seed_1_online_e20_bs32_eval5
sleep,causal_transformer,density_hard,2,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.09468452740378211,0.0029194299827502,20.0,0.0986574664797789,0.184217663230458,,,,experiments/sleep/causal_transformer/density_hard/seed_2_online_e20_bs32_eval5
sleep,causal_transformer,seg,0,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.19743951427990772,0.28444042227869204,17.5,0.3252499454904999,0.4817100248737876,,,,experiments/sleep/causal_transformer/seg/seed_0_online_e20_bs32_eval5
sleep,causal_transformer,seg,0,online_smoothing_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.1997697363127911,0.28009458968211465,16.25,0.2329898553387623,0.4726813411309224,,,,experiments/sleep/causal_transformer/seg/seed_0_online_smoothing_e20_bs32_eval5
sleep,causal_transformer,seg,1,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.20195922999422178,0.2784271193498564,20.0,0.3308615060893067,0.4907178399452333,,,,experiments/sleep/causal_transformer/seg/seed_1_online_e20_bs32_eval5
sleep,causal_transformer,seg,2,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.203757409976032,0.2781317290867337,20.0,0.3358313361859378,0.4935855574234982,,,,experiments/sleep/causal_transformer/seg/seed_2_online_e20_bs32_eval5
sleep,fgru,density_custom,0,online_smoothing_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.24395777261739726,0.0027129618342070245,20.0,0.2578643122754132,0.3285812273777471,,,,experiments/sleep/fgru/density_custom/seed_0_online_smoothing_e20_bs32_eval5
sleep,fgru,density_gau,0,online_smoothing_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.2675565835840486,0.002617262877641575,20.0,0.2983390633924616,0.3874204197874724,,,,experiments/sleep/fgru/density_gau/seed_0_online_smoothing_e20_bs32_eval5
sleep,fgru,density_hard,0,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.20143187513407146,0.0026300663978275247,18.75,0.2042284191775852,0.3230823775737093,,,,experiments/sleep/fgru/density_hard/seed_0_online_e20_bs32_eval5
sleep,fgru,density_hard,1,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.2143076566388072,0.0026109901767863,17.5,0.2282009680911088,0.3423199129111952,,,,experiments/sleep/fgru/density_hard/seed_1_online_e20_bs32_eval5
sleep,fgru,density_hard,2,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.21642133985009063,0.0025776407584362252,16.25,0.2239545357405069,0.3524519678300574,,,,experiments/sleep/fgru/density_hard/seed_2_online_e20_bs32_eval5
sleep,fgru,seg,0,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.21275518830950374,0.19023223344668527,12.5,0.280923887102096,0.367594858401725,,,,experiments/sleep/fgru/seg/seed_0_online_e20_bs32_eval5
sleep,fgru,seg,0,online_smoothing_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,False,4,0,,,,,,,,,,,,,,,,0.2060938823631318,0.1759017800414784,17.5,0.2125297157906442,0.2681354034045262,,,,experiments/sleep/fgru/seg/seed_0_online_smoothing_e20_bs32_eval5
sleep,fgru,seg,1,online_e20_bs32_eval5,20,4,32,10,5.0,0.003,sparse,True,4,0,,,,,,,,,,,,,,,,0.20696362397523124,0.17237789503069237,15.0,0.2927111610949143,0.3819102222497406,,,,experiments/sleep/fgru/seg/seed_1_online_e20_bs32_eval5
