dataset,model,objective,seed,run_tag,run_dir,threshold,smooth,scale,initial_prob,precision,recall,f1,macro_f1,iou,accuracy,brier,pred_positive_rate,true_positive_rate,transition_count_error,abs_transition_count_error,series,bins,params
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.0,none,0.25,0.0,0.2393167939518393,1.0,0.3862076187779625,0.19310380938898125,0.2393167939518393,0.2393167939518393,0.1975472209618663,1.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.0}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.16666666666666666,none,0.25,0.0,0.2459352753414714,0.9918659668813826,0.39414216329068685,0.23840306697141359,0.24544025895738936,0.27025018330090317,0.1975472209618663,0.965173389195245,0.2393167939518393,-9073,9073,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.16666666666666666}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.3333333333333333,none,0.25,0.0,0.2520362461038029,0.9185224166293408,0.39553923988554235,0.31969597998863686,0.2465247201541568,0.32815131745921877,0.1975472209618663,0.8721675684302008,0.2393167939518393,-8660,8660,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.3333333333333333}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.5,none,0.25,0.0,0.6949111926239816,0.6863308875663581,0.6905943895767931,0.7970207444414771,0.5274105930809241,0.8528223532246859,0.1975472209618663,0.236361868028477,0.2393167939518393,-2511,2511,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.5}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.6666666666666666,none,0.25,0.0,0.05461826857532379,0.0002145820737934696,0.00042748466290400133,0.43197812278335934,0.0002137880270033289,0.7598456939669648,0.1975472209618663,0.0009402182690754713,0.2393167939518393,-9550,9550,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.6666666666666666}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.8333333333333333,none,0.25,0.0,0.0,0.0,0.0,0.4320386560371119,0.0,0.7606832060481608,0.1975472209618663,0.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.8333333333333333}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,1.0,none,0.25,0.0,0.0,0.0,0.0,0.4320386560371119,0.0,0.7606832060481608,0.1975472209618663,0.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 1.0}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.0,none,0.25,0.2393167939518393,0.2393167939518393,1.0,0.3862076187779625,0.19310380938898125,0.2393167939518393,0.2393167939518393,0.20037297345967728,1.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.0}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.16666666666666666,none,0.25,0.2393167939518393,0.2393167939518393,1.0,0.3862076187779625,0.19310380938898125,0.2393167939518393,0.2393167939518393,0.20037297345967728,1.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.16666666666666666}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.3333333333333333,none,0.25,0.2393167939518393,0.25176653674617466,0.995197847350129,0.4018679580590803,0.2658231057602648,0.25146104796886165,0.29103256411045225,0.20037297345967728,0.9459857582889181,0.2393167939518393,-8707,8707,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.3333333333333333}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.5,none,0.25,0.2393167939518393,0.7016943399166278,0.7598203937999506,0.7296014982029473,0.8199194783339019,0.5743091613937543,0.8652177563456722,0.20037297345967728,0.2591410109493449,0.2393167939518393,-1762,1762,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.5}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.6666666666666666,none,0.25,0.2393167939518393,0.09022923101934645,0.0003715851823880675,0.0007401223668979938,0.43214115136582715,0.0003701981794253857,0.7598754963865367,0.20037297345967728,0.0009855628106822127,0.2393167939518393,-9548,9548,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.6666666666666666}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.8333333333333333,none,0.25,0.2393167939518393,0.0,0.0,0.0,0.4320386560371119,0.0,0.7606832060481608,0.20037297345967728,0.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.8333333333333333}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,1.0,none,0.25,0.2393167939518393,0.0,0.0,0.0,0.4320386560371119,0.0,0.7606832060481608,0.20037297345967728,0.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 1.0}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.0,none,0.25,1.0,0.2393167939518393,1.0,0.3862076187779625,0.19310380938898125,0.2393167939518393,0.2393167939518393,0.24781970470443063,1.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 1.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.0}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.16666666666666666,none,0.25,1.0,0.2393167939518393,1.0,0.3862076187779625,0.19310380938898125,0.2393167939518393,0.2393167939518393,0.24781970470443063,1.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 1.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.16666666666666666}"
