dataset,model,objective,run_tag,method,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,macro_f1_mean,macro_f1_std,macro_f1_count,iou_mean,iou_std,iou_count,accuracy_mean,accuracy_std,accuracy_count,brier_mean,brier_std,brier_count,pred_positive_rate_mean,pred_positive_rate_std,pred_positive_rate_count,true_positive_rate_mean,true_positive_rate_std,true_positive_rate_count,transition_count_error_mean,transition_count_error_std,transition_count_error_count,abs_transition_count_error_mean,abs_transition_count_error_std,abs_transition_count_error_count,objective_label,method_label
sleep,gru,density_custom,objective_e20_bs32_eval5,hazard,0.8806086322079594,0.005106647057736933,3,0.8864110964039259,0.0066304909372282535,3,0.8834908789475989,0.004729071648342707,3,0.9233390786085002,0.0030858644069654785,3,0.7913188886121943,0.0075737535678458675,3,0.9440522862621741,0.0022185932955069085,3,0.0906166146479347,0.00837259970711018,3,0.24089704321543112,0.0019342710981714855,3,0.23931679395183933,0.0,3,908.6666666666666,41.40450861118067,3,908.6666666666666,41.40450861118067,3,BDL-Tolerance,Hazard-recursion state probability
sleep,gru,density_custom,objective_e20_bs32_eval5,integral,0.4378259469935632,0.0864648181177878,3,0.6674000173629593,0.1516549044852546,3,0.5150923354064968,0.030271629537221064,3,0.6424518656492509,0.06318899569989299,3,0.3472626945178286,0.027783610210833407,3,0.69479430241829,0.09508182603635831,3,0.3052056975817099,0.09508182603635834,3,0.3853289685072812,0.16621201218888818,3,0.23931679395183933,0.0,3,-5250.666666666667,361.0517045152029,3,5250.666666666667,361.0517045152029,3,BDL-Tolerance,Integrated event-score difference
sleep,gru,density_custom,objective_e20_bs32_eval5,peak_fill,0.753804995962375,0.015230502167904014,3,0.9549030609022534,0.006549774929444067,3,0.8424951826364593,0.012062160080571708,3,0.8919163537550644,0.00859336688642791,3,0.7279789575496541,0.017903242909854566,3,0.914515417998696,0.007217061389776766,3,0.08548458200130404,0.007217061389776821,3,0.30321646618931525,0.004120734271131011,3,0.23931679395183933,0.0,3,138.66666666666666,229.09677722162164,3,218.66666666666666,98.0068024849976,3,BDL-Tolerance,Event-score peaks to intervals
sleep,gru,density_gau,objective_e20_bs32_eval5,hazard,0.8582295181472204,0.01997788956900915,3,0.9216389339143006,0.02548845056887059,3,0.8884260364020751,0.002373982420171786,3,0.9257893013357062,0.00145850425977743,3,0.7992559556441189,0.003837944934930313,3,0.9446093191204633,0.0014821215643933895,3,0.08649086454506268,0.0059614550732703005,3,0.25720123661882044,0.013165017590179419,3,0.23931679395183933,0.0,3,1101.3333333333333,265.507689781922,3,1101.3333333333333,265.507689781922,3,BDL-Gaussian,Hazard-recursion state probability
sleep,gru,density_gau,objective_e20_bs32_eval5,integral,0.3606800958709655,0.1038323346312004,3,0.7380999566372367,0.2852789059004155,3,0.4522131337375624,0.07254671549949875,3,0.49459243910873774,0.24039657438493148,3,0.2940948861771134,0.06169302404911607,3,0.5516611857987518,0.2585717941917201,3,0.44833881420124816,0.2585717941917201,3,0.562301450726239,0.38159182315951096,3,0.23931679395183933,0.0,3,-6997.666666666667,2256.2868464212024,3,6997.666666666667,2256.2868464212024,3,BDL-Gaussian,Integrated event-score difference
sleep,gru,density_gau,objective_e20_bs32_eval5,peak_fill,0.7469843266432307,0.015392535488491173,3,0.9572642448239747,0.007245083310567777,3,0.8391278899532743,0.012483966560915742,3,0.8893382254324981,0.008891310565586046,3,0.7229754355085104,0.018519634026469896,3,0.9121212368837308,0.007461694793651495,3,0.08787876311626917,0.00746169479365152,3,0.3067407892364342,0.004014700895815976,3,0.23931679395183933,0.0,3,259.3333333333333,242.8627870492582,3,259.3333333333333,242.8627870492582,3,BDL-Gaussian,Event-score peaks to intervals
sleep,gru,density_hard,objective_e20_bs32_eval5,hazard,0.840647533683148,0.025057338125150822,3,0.9396100431105764,0.031695681970433556,3,0.8867823101174283,0.0011846026634000834,3,0.9241577870665738,0.0007514859911222236,3,0.7965951573304991,0.0019129169835380767,3,0.9425907125833293,0.0016243104245187723,3,0.08607800646411708,0.006052251286388037,3,0.2678214196291767,0.01670921074038228,3,0.23931679395183933,0.0,3,1331.0,367.0844589464392,3,1331.0,367.0844589464392,3,BDL-Hard,Hazard-recursion state probability
sleep,gru,density_hard,objective_e20_bs32_eval5,integral,0.2621672725377355,0.031005448699407114,3,0.9437982433059432,0.08782904162638744,3,0.40820947419572784,0.027765107295495646,3,0.3124578090410303,0.14888081715833637,3,0.25670412812991966,0.022135319968381997,3,0.3373067222294859,0.1301372785032065,3,0.6626932777705141,0.1301372785032065,3,0.8751100232693872,0.17215264043249864,3,0.23931679395183933,0.0,3,-8592.0,1376.6506455887782,3,8592.0,1376.6506455887782,3,BDL-Hard,Integrated event-score difference
sleep,gru,density_hard,objective_e20_bs32_eval5,peak_fill,0.6858864244307492,0.0290281853079517,3,0.9372670478929782,0.02396179957475563,3,0.791996240206099,0.026147761668326105,3,0.8548330399925499,0.01893106691923398,3,0.6561350326943202,0.03541498020588564,3,0.882041222194022,0.016267651306773143,3,0.11795877780597792,0.01626765130677315,3,0.3272494738110437,0.009651510159986217,3,0.23931679395183933,0.0,3,-251.33333333333334,556.2502434456396,3,429.3333333333333,357.3182521693138,3,BDL-Hard,Event-score peaks to intervals
sleep,gru,seg,objective_e20_bs32_eval5,direct,0.8740117756420428,0.0026141361146832945,3,0.9572024255473851,0.003964660319956191,3,0.9137101341914654,0.0008314895275215276,3,0.9424192307100073,0.0005252684999372656,3,0.8411299269016413,0.0014093324890055573,3,0.956733376018089,0.000369078272358519,3,0.03470131953986343,0.00046616313670440107,3,0.26209906131992033,0.0018183786658532792,3,0.23931679395183933,0.0,3,19370.333333333332,4797.418090320389,3,19370.333333333332,4797.418090320389,3,Cross-entropy,Direct state probability
