dataset,model,objective,seed,run_tag,method,run_dir,precision,recall,f1,macro_f1,iou,accuracy,brier,pred_positive_rate,true_positive_rate,transition_count_error,abs_transition_count_error,series,bins,params
sleep,gru,density_custom,0,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.7643708000772013,0.9585464926710681,0.8505166819069474,0.8976542599631386,0.7399121575056183,0.9193645066642055,0.08063549333579444,0.3001112463435956,0.2393167939518393,220,220,269,12482208,"{""alternating"": true, ""cutoff"": 0.01194307083884875, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.3507119426321114,0.8425134959068721,0.4952618931843482,0.5743385895645692,0.3291349444405502,0.5890289602608769,0.4109710397391231,0.5749095031904612,0.2393167939518393,-5579,5579,269,12482208,"{""smooth"": ""none"", ""threshold"": -0.1769892374674491}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.8864906046222552,0.8881207230043365,0.8873049151181032,0.9259036539154091,0.7974376153663725,0.9460107538666236,0.08931771009564585,0.23975686032471177,0.2393167939518393,862,862,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 4.0, ""smooth"": ""none"", ""threshold"": 0.8333333333333333}"
sleep,gru,density_custom,1,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_custom/seed_1_objective_e20_bs32_eval5,0.7606975213652968,0.9588209970400394,0.8483453339691547,0.8960583405812551,0.7366316995814032,0.9179603480409876,0.08203965195901237,0.30164679197782956,0.2393167939518393,316,316,269,12482208,"{""alternating"": true, ""cutoff"": 0.011104955027500788, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_custom,1,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_custom/seed_1_objective_e20_bs32_eval5,0.4391392815396382,0.5806570831165753,0.5000789238676586,0.6538527010503252,0.3334034915738031,0.7221657418302916,0.2778342581697084,0.3164394472516401,0.2393167939518393,-5309,5309,269,12482208,"{""smooth"": ""none"", ""threshold"": 0.5014462471008301}"
sleep,gru,density_custom,1,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_custom/seed_1_objective_e20_bs32_eval5,0.8773075841166986,0.87909321164086,0.8781994902084848,0.919914415110435,0.7828481824916417,0.9416428567766215,0.09956275669039763,0.23980388726097177,0.2393167939518393,941,941,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 4.0, ""smooth"": ""none"", ""threshold"": 0.8333333333333333}"
sleep,gru,density_custom,2,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_custom/seed_2_objective_e20_bs32_eval5,0.7363466664446274,0.9473416929956527,0.828623532033276,0.8820364607207994,0.7073930155619409,0.9062213992908947,0.0937786007091053,0.3078913602465205,0.2393167939518393,-120,120,269,12482208,"{""alternating"": true, ""cutoff"": 0.013607153048117956, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_custom,2,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_custom/seed_2_objective_e20_bs32_eval5,0.52362661680894,0.5790294730654305,0.5499361891674833,0.6991643063328586,0.3792496475391325,0.7731882051637018,0.22681179483629818,0.2646379550797423,0.2393167939518393,-4864,4864,269,12482208,"{""smooth"": ""none"", ""threshold"": 0.4888725280761719}"
sleep,gru,density_custom,2,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_custom/seed_2_objective_e20_bs32_eval5,0.8780277078849243,0.892019354566581,0.8849682315162091,0.9241991667996563,0.7936708679785689,0.9445032481432772,0.08296937715776065,0.2431303820606098,0.2393167939518393,923,923,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 4.0, ""smooth"": ""none"", ""threshold"": 0.8333333333333333}"
sleep,gru,density_gau,0,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_gau/seed_0_objective_e20_bs32_eval5,0.7470786083395846,0.9581621865545082,0.8395558856416087,0.889634206396805,0.7234780850310905,0.9123571727053419,0.08764282729465812,0.3069346384870369,0.2393167939518393,289,289,269,12482208,"{""alternating"": true, ""cutoff"": 0.022976582249005634, ""distance"": 36, ""smooth"": ""none""}"
