dataset,model,objective,run_tag,postprocess_objective,metric,mean,std,count,mean_std
bowshock,gru,density_hard,point_event_ablation_e20,density_hard,mAP,0.9875641703711352,,1,0.988
bowshock,gru,density_custom,point_event_ablation_e20,density_custom,mAP,0.9829953991241586,,1,0.983
bowshock,gru,density_gau,point_event_ablation_e20,density_gau,mAP,0.9879226272070069,,1,0.988
bowshock,gru,seg,point_event_ablation_e20,seg1,mAP,0.9865157931195504,,1,0.987
bowshock,gru,seg,point_event_ablation_e20,seg2,mAP,0.9865157931195504,,1,0.987
bowshock,gru,density_hard,point_event_ablation_e20,density_hard,mf1,0.9372881305936815,,1,0.937
bowshock,gru,density_custom,point_event_ablation_e20,density_custom,mf1,0.934881082202989,,1,0.935
bowshock,gru,density_gau,point_event_ablation_e20,density_gau,mf1,0.9394796330094098,,1,0.939
bowshock,gru,seg,point_event_ablation_e20,seg1,mf1,0.9386363586364428,,1,0.939
bowshock,gru,seg,point_event_ablation_e20,seg2,mf1,0.9386363586364428,,1,0.939
fraud,gru,density_hard,point_event_ablation_e20,density_hard,mAP,0.7552557150896272,,1,0.755
fraud,gru,density_custom,point_event_ablation_e20,density_custom,mAP,0.7035117662515357,,1,0.704
fraud,gru,density_gau,point_event_ablation_e20,density_gau,mAP,0.73360004261746,,1,0.734
fraud,gru,seg,point_event_ablation_e20,seg1,mAP,0.5315995509090848,,1,0.532
fraud,gru,seg,point_event_ablation_e20,seg2,mAP,0.5315995509090848,,1,0.532
fraud,gru,density_hard,point_event_ablation_e20,density_hard,mf1,0.7462038995779242,,1,0.746
fraud,gru,density_custom,point_event_ablation_e20,density_custom,mf1,0.697928021198993,,1,0.698
fraud,gru,density_gau,point_event_ablation_e20,density_gau,mf1,0.745874582492784,,1,0.746
fraud,gru,seg,point_event_ablation_e20,seg1,mf1,0.4894837426275094,,1,0.489
fraud,gru,seg,point_event_ablation_e20,seg2,mf1,0.4894837426275094,,1,0.489
seizure,gru,density_hard,seizure_main_e20_bs32_eval5,density_hard,mAP,0.0096418299881976,,1,0.010
seizure,gru,density_gau,seizure_main_e20_bs32_eval5,density_gau,mAP,0.0180357404454348,,1,0.018
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg1,mAP,0.0,,1,0.000
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg2,mAP,0.0314541747797959,,1,0.031
seizure,gru,density_hard,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,density_hard,mAP,0.014159499129408,,1,0.014
seizure,gru,density_gau,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,density_gau,mAP,0.0136245294645873,,1,0.014
seizure,gru,seg,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,seg1,mAP,0.0211201568866798,,1,0.021
seizure,gru,seg,seizure_rescue_lr3e4_ds5_bs8_e20_eval5,seg2,mAP,0.0457371685966296,,1,0.046
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds256_bs8_e20,density_hard,mAP,0.3881360536178695,,1,0.388
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds256_bs8_e20,density_custom,mAP,0.2780069281264933,,1,0.278
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds256_bs8_e20,density_gau,mAP,0.3562826727901812,,1,0.356
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg1,mAP,0.286962692929188,,1,0.287
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds256_bs8_e20,seg2,mAP,0.1034566438959732,,1,0.103
seizure,gru_3l_128h,density_hard,seizure_highscore_gru3l128h_ds512_bs8_e20,density_hard,mAP,0.3172917213636258,,1,0.317
seizure,gru_3l_128h,density_custom,seizure_highscore_gru3l128h_ds512_bs8_e20,density_custom,mAP,0.2669804451143543,,1,0.267
seizure,gru_3l_128h,density_gau,seizure_highscore_gru3l128h_ds512_bs8_e20,density_gau,mAP,0.3601900704234238,,1,0.360
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,mAP,0.251653325113825,,1,0.252
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,mAP,0.0959034088152961,,1,0.096
seizure,unet,density_hard,seizure_main_e20_bs32_eval5,density_hard,mAP,0.0150257071739581,,1,0.015
seizure,unet,density_gau,seizure_main_e20_bs32_eval5,density_gau,mAP,0.0554338522507069,,1,0.055
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg1,mAP,0.0,,1,0.000
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg2,mAP,0.0223495659032682,,1,0.022
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,mAP,0.10892510239863361,0.00926972755115463,3,0.109
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,mAP,0.2775343097457011,0.002869055446337842,3,0.278
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,mAP,0.3306475959219148,0.005293937611283342,3,0.331
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,mf1,0.19909011959725628,0.013350247868210204,3,0.199
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg1,mf1,0.40038582990370597,0.0023104344763373234,3,0.400
sleep,causal_transformer,seg,online_e20_bs32_eval5,seg2,mf1,0.4886711407475064,0.006196676652794681,3,0.489
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,mAP,0.1821378239061978,,1,0.182
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,mAP,0.1700910237520376,,1,0.170
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,mAP,0.2015598365786272,,1,0.202
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,mAP,0.2329898553387623,,1,0.233
sleep,causal_transformer,density_custom,online_smoothing_e20_bs32_eval5,density_custom,mf1,0.2665804267576421,,1,0.267
sleep,causal_transformer,density_gau,online_smoothing_e20_bs32_eval5,density_gau,mf1,0.2609611812251761,,1,0.261
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,mf1,0.3076318979136328,,1,0.308
