dataset,model,objective,run_tag,postprocess_objective,tolerance,mean,std,count
bowshock,gru,density_custom,point_event_ablation_e20,density_custom,75.0,0.9829953991241586,,1
bowshock,gru,density_gau,point_event_ablation_e20,density_gau,75.0,0.9879226272070069,,1
bowshock,gru,density_hard,point_event_ablation_e20,density_hard,75.0,0.9875641703711352,,1
bowshock,gru,seg,point_event_ablation_e20,seg1,75.0,0.9865157931195504,,1
bowshock,gru,seg,point_event_ablation_e20,seg2,75.0,0.9865157931195504,,1
fraud,gru,density_custom,point_event_ablation_e20,density_custom,2.0,0.7035117662515357,,1
fraud,gru,density_gau,point_event_ablation_e20,density_gau,2.0,0.73360004261746,,1
fraud,gru,density_hard,point_event_ablation_e20,density_hard,2.0,0.7552557150896272,,1
fraud,gru,seg,point_event_ablation_e20,seg1,2.0,0.5315995509090848,,1
fraud,gru,seg,point_event_ablation_e20,seg2,2.0,0.5315995509090848,,1
seizure,gru,density_gau,seizure_main_e20_bs32_eval5,density_gau,256.0,9.44430275527682e-05,,1
seizure,gru,density_gau,seizure_main_e20_bs32_eval5,density_gau,512.0,0.0017907813162479,,1
seizure,gru,density_gau,seizure_main_e20_bs32_eval5,density_gau,1280.0,0.0028987578096945,,1
seizure,gru,density_gau,seizure_main_e20_bs32_eval5,density_gau,2560.0,0.0094651063242826,,1
seizure,gru,density_gau,seizure_main_e20_bs32_eval5,density_gau,5120.0,0.027874718108358,,1
seizure,gru,density_gau,seizure_main_e20_bs32_eval5,density_gau,15360.0,0.0660906360864729,,1
seizure,gru,density_hard,seizure_main_e20_bs32_eval5,density_hard,256.0,9.115330803242578e-05,,1
seizure,gru,density_hard,seizure_main_e20_bs32_eval5,density_hard,512.0,0.0004478473025414,,1
seizure,gru,density_hard,seizure_main_e20_bs32_eval5,density_hard,1280.0,0.0011831102688322,,1
seizure,gru,density_hard,seizure_main_e20_bs32_eval5,density_hard,2560.0,0.003498635772544,,1
seizure,gru,density_hard,seizure_main_e20_bs32_eval5,density_hard,5120.0,0.0109978478596127,,1
seizure,gru,density_hard,seizure_main_e20_bs32_eval5,density_hard,15360.0,0.041632385417623,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg1,256.0,0.0,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg2,256.0,0.0064375463554709,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg1,512.0,0.0,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg2,512.0,0.0072807155362223,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg1,1280.0,0.0,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg2,1280.0,0.0116550528097032,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg1,2560.0,0.0,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg2,2560.0,0.0238306716105597,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg1,5120.0,0.0,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg2,5120.0,0.0407614818486028,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg1,15360.0,0.0,,1
seizure,gru,seg,seizure_main_e20_bs32_eval5,seg2,15360.0,0.0987595805182165,,1
