dataset,model,objective,seed,run_tag,method,run_dir,precision,recall,f1,macro_f1,iou,accuracy,brier,pred_positive_rate,true_positive_rate,transition_count_error,abs_transition_count_error,series,bins,params
sleep,gru,density_custom,0,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.7854961817699505,0.9783730728621634,0.8713892042299347,0.912067168592757,0.7720900841067845,0.9308849043374378,0.06911509566256227,0.29808051588308737,0.2393167939518393,1040,1040,269,12482208,"{""alternating"": true, ""cutoff"": 0.00716584250330925, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.5066426493413252,0.5036442128788077,0.5051389815712493,0.6750284838321762,0.3379170206085119,0.7638437846893754,0.23615621531062453,0.23790045799589304,0.2393167939518393,-5510,5510,269,12482208,"{""smooth"": ""none"", ""threshold"": 0.6505965232849142}"
sleep,gru,density_custom,0,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_custom/seed_0_objective_e20_bs32_eval5,0.8741263622866443,0.9054499829606434,0.8895124976814732,0.9269644483144635,0.8010108135609885,0.9461694597622472,0.09118737678869537,0.24789252029769093,0.2393167939518393,1013,1013,269,12482208,"{""initial_prob"": 0.5, ""scale"": 4.0, ""smooth"": ""none"", ""threshold"": 0.8}"
sleep,gru,density_custom,1,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_custom/seed_1_objective_e20_bs32_eval5,0.8059513403283535,0.9762707711095534,0.8829727018304395,0.9204324765605869,0.7904665385325326,0.9380682488226442,0.061931751177355804,0.289890939167173,0.2393167939518393,1014,1014,269,12482208,"{""alternating"": true, ""cutoff"": 0.006662973016500473, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_custom,1,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_custom/seed_1_objective_e20_bs32_eval5,0.4391392815396382,0.5806570831165753,0.5000789238676586,0.6538527010503252,0.3334034915738031,0.7221657418302916,0.2778342581697084,0.3164394472516401,0.2393167939518393,-5309,5309,269,12482208,"{""smooth"": ""none"", ""threshold"": 0.5014462471008301}"
sleep,gru,density_custom,1,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_custom/seed_1_objective_e20_bs32_eval5,0.8668706795056572,0.9016337027090903,0.883910527327969,0.9232095362691795,0.7919710282830623,0.9433215661844443,0.10392458003883621,0.248913813966247,0.2393167939518393,660,660,269,12482208,"{""initial_prob"": 0.5, ""scale"": 2.0, ""smooth"": ""none"", ""threshold"": 0.7000000000000001}"
sleep,gru,density_custom,2,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_custom/seed_2_objective_e20_bs32_eval5,0.8069034605177595,0.9836522605434784,0.8865542732266685,0.9227706137566392,0.7962258526922774,0.9397540883792355,0.06024591162076453,0.2917381283824144,0.2393167939518393,1380,1380,269,12482208,"{""alternating"": true, ""cutoff"": 0.0040821459144353865, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_custom,2,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_custom/seed_2_objective_e20_bs32_eval5,0.52362661680894,0.5790294730654305,0.5499361891674833,0.6991643063328586,0.3792496475391325,0.7731882051637018,0.22681179483629818,0.2646379550797423,0.2393167939518393,-4864,4864,269,12482208,"{""smooth"": ""none"", ""threshold"": 0.4888725280761719}"
sleep,gru,density_custom,2,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_custom/seed_2_objective_e20_bs32_eval5,0.8488616188419438,0.9320049330443673,0.8884924200465583,0.9255586902177444,0.7993579495731149,0.9440149531236781,0.09087284395215205,0.2627571179714358,0.2393167939518393,969,969,269,12482208,"{""initial_prob"": 0.5, ""scale"": 2.0, ""smooth"": ""none"", ""threshold"": 0.65}"
sleep,gru,density_gau,0,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_gau/seed_0_objective_e20_bs32_eval5,0.7803788056976332,0.9829482572654946,0.8700280318710862,0.9109320419102023,0.7699554116477237,0.9297170019919553,0.07028299800804473,0.3014382551548572,0.2393167939518393,1438,1438,269,12482208,"{""alternating"": true, ""cutoff"": 0.006892974674701691, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_gau,0,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_gau/seed_0_objective_e20_bs32_eval5,0.34036914052213885,0.8437792288569705,0.4850682876286311,0.5589124976656723,0.3201915199658332,0.5712750500552466,0.42872494994475335,0.593269235699325,0.2393167939518393,-5724,5724,269,12482208,"{""smooth"": ""none"", ""threshold"": -0.026777839660644176}"
sleep,gru,density_gau,0,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_gau/seed_0_objective_e20_bs32_eval5,0.8505017954287429,0.9391771965873081,0.8926426420454682,0.928256945714125,0.8061016939412615,0.945936408045756,0.08571726670009781,0.2642685492823065,0.2393167939518393,1316,1316,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 4.0, ""smooth"": ""none"", ""threshold"": 0.75}"
sleep,gru,density_gau,1,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_gau/seed_1_objective_e20_bs32_eval5,0.7809135008387034,0.977631576304515,0.8682696926059437,0.9098404976162842,0.7672054790202074,0.9290079928166555,0.07099200718334449,0.29960252224606415,0.2393167939518393,1085,1085,269,12482208,"{""alternating"": true, ""cutoff"": 0.01132059320807457, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_gau,1,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_gau/seed_1_objective_e20_bs32_eval5,0.3745625350966309,0.7219049799779191,0.49321763879348,0.6099997661322152,0.3273317046255756,0.6449691432797787,0.3550308567202213,0.4612420334607467,0.2393167939518393,-5252,5252,269,12482208,"{""smooth"": ""none"", ""threshold"": 0.09726531505584735}"
sleep,gru,density_gau,1,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_gau/seed_1_objective_e20_bs32_eval5,0.8610028879686138,0.9309708550007666,0.8946209149717058,0.9298370258988831,0.8093340348924787,0.9475126516077925,0.09534918973951939,0.2587644750031405,0.2393167939518393,1146,1146,269,12482208,"{""initial_prob"": 0.5, ""scale"": 4.0, ""smooth"": ""none"", ""threshold"": 0.75}"
sleep,gru,density_gau,2,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_gau/seed_2_objective_e20_bs32_eval5,0.8152832395990459,0.9835695744713615,0.8915546427965624,0.9263262777433473,0.8043289071514707,0.9427373746696097,0.05726262533039026,0.28871526576067313,0.2393167939518393,1369,1369,269,12482208,"{""alternating"": true, ""cutoff"": 0.007920107245445252, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_gau,2,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_gau/seed_2_objective_e20_bs32_eval5,0.4015917992284213,0.7876899520019068,0.5319678448464329,0.6375447518978343,0.36236797877958266,0.6682974678838872,0.3317025321161128,0.46940060604662254,0.2393167939518393,-5067,5067,269,12482208,"{""smooth"": ""none"", ""threshold"": 0.1222696304321289}"
sleep,gru,density_gau,2,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_gau/seed_2_objective_e20_bs32_eval5,0.8462634360527886,0.940961474985622,0.8911036166701223,0.927139459106352,0.8035950248067805,0.9449623015415222,0.0828609326596428,0.26609667135814435,0.2393167939518393,1265,1265,269,12482208,"{""initial_prob"": 0.5, ""scale"": 4.0, ""smooth"": ""none"", ""threshold"": 0.75}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.7738334062481881,0.9829325234784926,0.8659389505280627,0.9079693570206375,0.763573487451383,0.9271646490749073,0.07283535092509275,0.30398307735298113,0.2393167939518393,1445,1445,269,12482208,"{""alternating"": true, ""cutoff"": 0.018560345470905303, ""distance"": 36, ""smooth"": ""none""}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,integral,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.38216446008179894,0.5237851340485177,0.44190551935658934,0.6104546164386903,0.2836192059252438,0.6833826995993016,0.31661730040069835,0.3280016644491103,0.2393167939518393,-6555,6555,269,12482208,"{""smooth"": ""none"", ""threshold"": 0.711639404296875}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,hazard,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.8560657195418916,0.9404282000346813,0.896266149266931,0.9307417137739535,0.8120310423311348,0.9479030472813784,0.08335898882249776,0.26290068231518016,0.2393167939518393,1253,1253,269,12482208,"{""initial_prob"": 0.2393167939518393, ""scale"": 4.0, ""smooth"": ""none"", ""threshold"": 0.75}"
sleep,gru,density_hard,1,objective_e20_bs32_eval5,peak_fill,experiments/sleep/gru/density_hard/seed_1_objective_e20_bs32_eval5,0.7648036364015471,0.9823132148411792,0.8600188570803883,0.9036808151548842,0.7544149852143951,0.9234729945214821,0.0765270054785179,0.3073783099913092,0.2393167939518393,1408,1408,269,12482208,"{""alternating"": true, ""cutoff"": 0.022768183052539824, ""distance"": 36, ""smooth"": ""none""}"
