dataset,model,objective,seed,run_tag,run_dir,threshold,smooth,scale,initial_prob,precision,recall,f1,macro_f1,iou,accuracy,brier,pred_positive_rate,true_positive_rate,transition_count_error,abs_transition_count_error,series,bins,params
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.0,none,0.25,0.0,0.2393167939518393,1.0,0.3862076187779625,0.19310380938898125,0.2393167939518393,0.2393167939518393,0.202739062955205,1.0,0.2393167939518393,-9578,9578,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.0}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.05,none,0.25,0.0,0.2433544847069227,0.9993760047027285,0.3914004439827127,0.21762638953727503,0.24331751337279767,0.2562235783925408,0.202739062955205,0.9827945504513304,0.2393167939518393,-9307,9307,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.05}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.1,none,0.25,0.0,0.2438235093726303,0.9979254834457127,0.39189513319252217,0.2215788340064103,0.24369998579168517,0.2588435475518434,0.202739062955205,0.9794803130984518,0.2393167939518393,-9301,9301,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.1}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.15000000000000002,none,0.25,0.0,0.24505668098957106,0.9928180283757175,0.3930877479274324,0.23284391487544004,0.24462303241538838,0.2663157031191917,0.202739062955205,0.9695635579858948,0.2393167939518393,-9177,9177,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.15000000000000002}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.2,none,0.25,0.0,0.24525853837905853,0.9703923604764593,0.391554865313265,0.25234071402807284,0.24343688004597386,0.27826238755194593,0.202739062955205,0.9468831956653823,0.2393167939518393,-9069,9069,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.2}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.25,none,0.25,0.0,0.2448746680826169,0.9479127959876834,0.38920568547334883,0.2678829072362062,0.2416234536981967,0.2879879104722498,0.202739062955205,0.9263981981393036,0.2393167939518393,-9093,9093,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.25}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.30000000000000004,none,0.25,0.0,0.24799302700281223,0.9317886771634459,0.39172856090357727,0.29393412773467154,0.24357117298785252,0.30747925367050444,0.202739062955205,0.8991893100964189,0.2393167939518393,-8846,8846,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.30000000000000004}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.35000000000000003,none,0.25,0.0,0.2525279741368007,0.9026584074327749,0.394648868101845,0.3312869814003879,0.24583336334351674,0.33729064601391034,0.202739062955205,0.8554351922352199,0.2393167939518393,-8560,8560,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.35000000000000003}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.4,none,0.25,0.0,0.27777501349061307,0.8690122060710993,0.4209845961784667,0.42784280486865645,0.26661208950818316,0.4279250113441468,0.202739062955205,0.7486966248279151,0.2393167939518393,-7372,7372,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.4}"
sleep,gru,density_hard,0,objective_e20_bs32_eval5,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5,0.45,none,0.25,0.0,0.3824497314493629,0.8087454413862872,0.5193178816075624,0.6168682533462531,0.35072881286050844,0.6417058584506844,0.202739062955205,0.5060700799089392,0.2393167939518393,-4396,4396,269,12482208,"{""initial_prob"": 0.0, ""scale"": 0.25, ""smooth"": ""none"", ""threshold"": 0.45}"
